Outflow_lat,Outflow_lon,Vassom,river_name
58.9396,11.17086,Sweden,Strömsån
58.9797,11.4765,Sweden,Enningdalsälv
59.119,11.37,1,Tista
59.206,10.953,2,Glomma
59.439,10.662,3,Mosseelva
59.523,10.69,4,Hølenelva
59.72,10.728,5,Årungen 
59.908,10.756,6,Akerselva
59.914,10.64,7,Lysakerelva
59.89,10.523,8,Sandvikselva
59.704,10.519,9,Åros
59.547,10.568,10,Tofteelva
59.533,10.53,10,Sageneelva
59.751,10.285,11,Lierelva
59.732,10.235,12,Drammenselva
59.572,10.243,13,Sandeelva
59.278,10.379,14,Aulielva
59.047,10.068,15,Numedalslågen
59.135,9.629,16,Skienselva
58.867,9.354,17,Kammerfosselva
