Område,DIN,SS,TDP,TOC,TON,TOTN,TOTP,TPP
001,435.92515386221623,1637.9450952679595,7.7322532451011465,8156.717344734426,373.91863372782115,809.8437875900374,16.541283119249016,8.80902987414787
002,7382.196265042907,45280.63318156477,90.11524704029509,106631.12434601548,5551.342619051865,12933.538884094773,214.8753479110959,124.7601008708008
003,420.708055361457,1878.433467844682,6.113392289698693,4208.339182916784,208.34775055364327,629.0558059151003,14.053719567684258,7.940327277985564
004,215.95627013744283,2527.9525715291375,2.6725527269249607,1678.7569334925875,77.2747623432355,293.2310324806783,10.438477481143249,7.765924754218287
005,170.93423770483417,1014.9503397339395,3.9307105998909413,1500.3206926416258,77.68799949417541,248.6222371990096,8.182992400501016,4.252281800610073
006,267.8770043950904,2612.530145802311,12.24115548500945,2232.08065351441,128.6559763661142,396.5329807612046,24.451176773677997,12.210021288668544
007,46.45305816903704,856.9842718798934,1.8300761559924164,1584.4151554869472,46.58591038424415,93.0389685532812,3.3453415023490436,1.5152653463566275
008,95.44538281890605,1795.2974588926727,3.2782957538549464,1741.776981778035,60.93499034833276,156.38037316723884,6.551231180625932,3.2729354267709847
009,473.7091671009435,2969.3600565917545,18.270035090983733,1999.626044238586,226.52558901663974,700.2347561175832,39.84844102372114,21.578405932737414
010,51.93110393968479,450.59709390941066,0.9496083416014687,837.668802963684,30.20362762375366,82.13473156343845,2.2441227849616867,1.2945144433602176
011,150.5102781095363,4422.8295726888955,3.7356976126966446,2337.9435903818344,86.36221439303505,236.87249250257133,13.287646389037976,9.551948776341332
012,2144.1633809476753,8917.854210402009,31.207076537741784,30733.961279906733,2008.3186712587353,4152.48205220641,57.58094905456398,26.3738725168222
013,365.84281782823905,3879.5474586589,7.224119635470758,2342.3776148722272,125.24190461149747,491.08472243973654,22.08270871982885,14.858589084358094
014,723.3294078554615,9014.611360750823,11.668791884870448,4801.589592896256,255.71421714345024,979.0436249989117,31.489923069282252,19.8211311844118
015,1130.2883999526184,11523.600366017328,20.079219086250006,19702.981504151292,906.5781127482426,2036.866512700861,47.80886664559305,27.729647559343043
016,1769.5200907464684,4999.266913275639,24.37148702078642,19422.746274886067,1306.8726410386462,3076.392731785115,42.060344649606286,17.688857628819864
017,219.2751094653526,1137.4160213016285,3.811483884562443,5539.8846004279,299.8934905829879,519.1686000483405,6.831960439851076,3.0204765552886323
Hele Oslofjord,16064.065183437871,104919.80958611176,249.23120239173136,215452.31059530485,11770.459110686419,27834.52429412429,561.6745327127727,312.44333032104134
Indre Oslofjord,1054.4188501888113,9249.122272900571,39.55027308573148,9058.219527659605,540.3904656095064,1594.8093157983176,82.37918288087513,42.82890979514365
Ytre Oslofjord,15009.646333249058,95670.68731321118,209.68092930599985,206394.09106764526,11230.068645076912,26239.714978325974,479.29534983189757,269.6144205258977
