,scaled_riv_plus_direct_wwtw_sum_tonnes,vassområde_sum_tonnes,diff_tonnes,diff_percent
agriculture-background,1187.998386682694,1264.5345722345837,-76.53618555188956,-6.05251823337981
agriculture,10691.985480144245,11380.811150111254,-688.8256699670071,-6.052518233379819
aquaculture,0.0,0.01108,-0.01108,-99.99999999999999
industry,31.835221595876565,722.9488116013039,-691.1135900054272,-95.59647639154937
lake,754.3121984549344,743.9723363815476,10.339862073386882,1.3898180843224344
large-wastewater,4876.733276597207,5622.545721468785,-745.8124448715784,-13.26467550141591
spredt,602.9251821957329,635.9839860477153,-33.0588038519825,-5.198056016696973
upland,354.82365933344204,348.2873247340827,6.536334599359357,1.8767075730791658
urban,658.9350550035273,951.598788283414,-292.6637332798865,-30.754950183135655
wood,1172.335645229194,1194.3694674040448,-22.033822174851096,-1.8448078903709322
total,20331.884105236855,22865.06323826673,-2533.1791330298743,-11.078819711245636
