real_river,agriculture-background,agriculture,aquaculture,industry,lake,large-wastewater,spredt,upland,urban,wood,name
6,0.06024470731011761,0.5422023657910584,0.0,0.040053006305043125,0.07257405676465757,0.1842365757692659,0.02769222337273275,0.0025832084039090052,0.022100249877885975,0.048313606405329834,Tista
7,0.0654213833313864,0.5887924499824776,0.0,0.00029420649323839764,0.028359957546542712,0.19719893300997726,0.02901505327000263,0.02026162327022448,0.026568705951779056,0.04408768714437132,Glomma
8,0.042248089414856686,0.38023280473371013,0.0,0.0,0.02715601482576754,0.48563038388844076,0.014429663118781388,0.0004998076020178928,0.024689772918031788,0.025113463498393915,Mosseelva
9,0.07313923631402847,0.6582531268262566,0.0,0.0,0.000517752034757112,0.1837851011520159,0.030598502304028823,0.00025652190868429513,0.03639963363860866,0.017050125821620094,Hølenelva
10,0.07979490547852956,0.7181541493067661,0.0,0.0,0.006756706652824613,0.13365465260576823,0.021533576705766506,0.00011135132284689127,0.03402167643751636,0.005972981489981878,Årungen 
11,0.0033037881132646526,0.029734093019381867,0.0,0.0,0.028041618222557737,0.8064446148346872,0.0031125666524794105,0.0004519493979150256,0.08704142522780854,0.0418699445319054,Akerselva
12,0.03207436460917538,0.28866928148257853,0.0,0.0,0.056801679695216885,0.12044175664934906,0.022710520264234552,0.003933288414951268,0.20809856871355165,0.26727054017094254,Lysakerelva
13,0.0513065401148495,0.4617588610336456,0.0,2.6531395810532533e-06,0.01625252234508806,0.0,0.032211535799147435,0.0023155793537374967,0.3001787818597246,0.13597352635422624,Sandvikselva
14,0.010104854895849997,0.09094369406265003,0.0,0.0,0.0017211325879278592,0.8619405059724503,0.009029052750110438,5.834492216784985e-05,0.018166432343924108,0.00803598246491938,Åros
15,0.03834316305117866,0.3450884674606078,0.0,0.0,0.22491611759505542,0.0,0.02068652617993758,0.00160092571488259,0.12268836458531401,0.24667643541302406,Tofteelva
16,0.08191143605019752,0.7372029244517776,0.0,0.0,0.04197683088516261,0.0,0.04814408680650842,0.0002510340106043337,0.02983656016525872,0.06067712763049095,Sageneelva
17,0.04644399871299515,0.4179959884169563,0.0,0.0005819511428445296,0.015750709720751925,0.3760506000764795,0.03343327828425755,0.0007588148862163998,0.04671793404711552,0.06226672471238297,Lierelva
18,0.05650204165552597,0.5085183748997336,0.0,0.0006417310457535597,0.060087467680709834,0.22227216323915894,0.03889679155667638,0.02050885276665064,0.03207813650907433,0.060494440646716593,Drammenselva
19,0.053582440094645405,0.4822419608518085,0.0,0.0,0.00505577582735872,0.3606013871906044,0.028442195086526744,0.0005218344644535686,0.03315341122510612,0.0364009952594966,Sandeelva
20,0.06956536471827583,0.6260882824644826,0.0,0.0,0.002176035324518984,0.24374499097208902,0.020034620240469935,0.00020402679150668428,0.020389400813944282,0.017797278674712744,Aulielva
21,0.05476146293119509,0.49285316638075577,0.0,1.1691822397939176e-06,0.03939639926398479,0.23153024969875113,0.035716713202442234,0.015697974551771528,0.03210938834912999,0.09793347643972966,Numedalslågen
22,0.05183819058033429,0.46654371522300825,0.0,8.626879727700007e-09,0.11765874252228913,0.0,0.04746680428175468,0.060483553896989936,0.0672579985370376,0.18875098633170648,Skienselva
23,0.024956027268471164,0.22460424541624055,0.0,0.0023122198533246634,0.18196800747352557,0.0,0.04214326180450523,0.018823093611926703,0.040863022346643865,0.46433012222536224,Kammerfosselva
Total,0.05843031469851351,0.5258728322866215,0.0,0.0015657782343780336,0.03709996548035838,0.23985643688285205,0.02965417169776402,0.01745158773760916,0.03240895194920998,0.05765996103269333,Total
