real_river,Q,TOTN,DIN
4,30.450819427834155,27.048594438794602,11.511814576321557
5,470.5620480179215,276.50780467334044,130.0525939862716
6,1160.1627179708075,1054.667321021319,611.4068163840844
7,22291.30915765137,11623.250027353679,7117.0956187993115
8,501.771945763607,515.7221355458312,312.3971784169909
9,101.06541467880248,274.96468943194884,179.39081224152588
10,78.45563311021328,221.61576649243779,136.9698499812173
11,206.99498341014865,82.23828713235199,44.018321587552926
12,154.32939918079376,76.53387052609183,28.808262059102184
13,169.16554838055612,130.14712890613336,84.42219714140116
14,307.4636441871071,443.3795242336649,290.4528625444387
15,79.71862300527927,71.62852816433659,61.19573304612148
17,235.21669968692783,267.1643297937422,163.80513780824083
18,11052.021012912597,4243.681494588545,2727.7812410906886
19,225.3629175430298,146.62213518010816,92.62844991910062
20,496.0599029056549,1337.1411991539785,1087.865331693376
21,4191.494777506714,1650.3103602206024,883.6453562493092
22,9346.09931010132,2274.8327241184174,1146.0541843536544
23,1487.620315499153,530.13229094107,197.13486370634223
