,baseline,scenario,f,1-f
6.0,33.68,7.69,0.22832541567695963,0.7716745843230404
7.0,1201.07,356.66,0.29695188456959215,0.7030481154304078
8.0,6.15,1.52,0.24715447154471543,0.7528455284552846
9.0,2.82,0.67,0.23758865248226954,0.7624113475177304
10.0,0.83,0.19,0.22891566265060243,0.7710843373493976
11.0,0.02,0.01,0.5,0.5
12.0,0.01,0.0,0.0,1.0
13.0,0.44,0.1,0.2272727272727273,0.7727272727272727
14.0,0.0,0.0,,
15.0,0.0,0.0,,
16.0,0.0,0.0,,
17.0,3.54,0.87,0.24576271186440676,0.7542372881355932
18.0,391.86,93.23,0.23791660286837135,0.7620833971316286
19.0,0.0,0.0,,
20.0,35.94,8.28,0.2303839732888147,0.7696160267111853
21.0,110.37,25.83,0.23403098668116334,0.7659690133188366
22.0,153.26,39.17,0.2555787550567663,0.7444212449432337
23.0,7.55,1.74,0.2304635761589404,0.7695364238410596
large-wastewater,1947.56,535.96,0.27519562940294523,0.7248043705970548
