real_river,agriculture-background,agriculture,aquaculture,industry,lake,large-wastewater,spredt,upland,urban,wood,total
6,39.98,359.83,0.0,26.58,48.16,17.92,18.38,1.71,14.67,32.06,559.3
7,662.01,5958.06,0.0,2.98,286.98,1341.95,293.61,205.03,268.85,446.13,9465.59
8,23.05,207.41,0.0,0.0,14.81,4.18,7.87,0.27,13.47,13.7,284.75
9,21.2,190.8,0.0,0.0,0.15,2.34,8.87,0.07,10.55,4.94,238.93
10,29.54,265.9,0.0,0.0,2.5,0.33,7.97,0.04,12.6,2.21,321.1
11,1.05,9.48,0.0,0.0,8.94,0.02,0.99,0.14,27.76,13.35,61.76
12,1.47,13.2,0.0,0.0,2.6,0.01,1.04,0.18,9.52,12.22,40.23
13,4.78,43.0,0.0,0.0,1.51,0.38,3.0,0.22,27.95,12.66,93.5
14,8.72,78.52,0.0,0.0,1.49,0.0,7.8,0.05,15.69,6.94,119.21
15,0.37,3.3,0.0,0.0,2.15,0.0,0.2,0.02,1.17,2.36,9.57
16,3.44,30.97,0.0,0.0,1.76,0.0,2.02,0.01,1.25,2.55,42.02
17,10.76,96.85,0.0,0.13,3.65,2.52,7.75,0.18,10.82,14.43,147.09
18,154.35,1389.11,0.0,1.75,164.14,293.12,106.25,56.02,87.63,165.25,2417.62
19,19.99,179.94,0.0,0.0,1.89,0.0,10.61,0.19,12.37,13.58,238.59
20,77.83,700.5,0.0,0.0,2.43,15.82,22.42,0.23,22.81,19.91,861.96
