,TotN,TotN,DIN,DIN,SS,SS,TOC,TOC,TDP,TDP
,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800,TEOTIL3,OF800
Område,,,,,,,,,,
001,328.0,374.0,106.0,148.0,404.0,283.0,7407.0,9294.0,1.0,2.0
002,5369.0,4478.0,1664.0,1566.0,14539.0,14011.0,98046.0,99896.0,27.0,54.0
003,163.0,226.0,69.0,82.0,332.0,163.0,3938.0,4667.0,0.0,1.0
004,54.0,65.0,29.0,30.0,489.0,416.0,1538.0,900.0,0.0,0.0
005,46.0,30.0,21.0,15.0,159.0,51.0,1272.0,355.0,0.0,0.0
006,59.0,44.0,18.0,16.0,73.0,110.0,1560.0,777.0,0.0,0.0
007,48.0,59.0,14.0,14.0,136.0,98.0,1474.0,1191.0,0.0,0.0
008,50.0,55.0,17.0,20.0,247.0,54.0,1535.0,963.0,0.0,0.0
009,44.0,181.0,16.0,69.0,180.0,395.0,1179.0,2385.0,0.0,1.0
010,25.0,37.0,9.0,30.0,114.0,30.0,792.0,480.0,0.0,0.0
011,77.0,110.0,29.0,47.0,421.0,674.0,2157.0,1365.0,0.0,1.0
012,2026.0,1882.0,560.0,738.0,2803.0,1847.0,28456.0,39284.0,11.0,12.0
013,82.0,43.0,38.0,20.0,433.0,124.0,1988.0,1286.0,0.0,0.0
014,181.0,279.0,98.0,218.0,1387.0,1947.0,4392.0,3826.0,1.0,2.0
015,945.0,793.0,290.0,278.0,3382.0,1603.0,18887.0,17325.0,5.0,7.0
016,1534.0,1283.0,459.0,456.0,845.0,614.0,18313.0,22531.0,8.0,8.0
017,384.0,494.0,120.0,144.0,374.0,229.0,5226.0,8985.0,1.0,3.0
Hele Oslofjord,11413.0,10431.0,3557.0,3891.0,26318.0,22649.0,198162.0,215511.0,56.0,92.0
