real_river,Q,TotN,DIN,TDP,TOC,SS
4,30.452696554094555,30.334867250692213,14.914465858823737,0.9431971916935171,280.8457917432704,4.153594435990683
5,457.3345680278778,244.07991171802925,108.4958111571572,2.814122349014075,4247.024296910148,62.39289409547239
6,1149.9914413970946,373.6241016116046,147.63820960033493,1.871732376303977,9294.378225664444,282.6510747107432
7,23673.136588110352,4477.726773412006,1565.5194623860489,53.968029370029306,99896.19588662592,14010.856524862016
8,583.1216412952423,225.72433000165518,82.31633217973504,0.9179446577942195,4667.1515631304555,163.22882181141404
9,120.99177027139665,65.40264774065629,29.84483808135855,0.42657619933820934,899.7650340642853,416.0351580173251
10,60.03169374847412,29.924577326653846,15.254665367229464,0.06273193004151265,355.2727075680939,51.130504793939146
11,185.74401396560668,44.39632784762602,16.002416998025893,0.31148841841502084,776.658464737292,109.52899431182728
12,155.0507295753479,58.52528139654646,13.637317871577375,0.450525765625673,1191.4713495073554,97.75702066794925
13,178.7499705511093,54.9303629347701,20.297803134232765,0.18502622109056366,963.3560417985132,53.86420662774657
14,443.9322553676605,180.7191748206093,69.10902831136386,0.8239056334586738,2384.8287379464737,395.4060832427044
15,92.61432932755183,36.67809477324538,29.580762084405375,0.4148595758854518,480.07357315076456,30.07673573734027
17,248.5642233718872,110.40916445993355,46.82639713658722,0.6835227594616002,1365.021040211549,673.932715051542
18,11828.709241699218,1881.784140517986,738.4289718042282,11.906327833576492,39283.72147463392,1846.967321695698
19,224.70164661827087,42.548435871548726,20.288481129929284,0.274463007576871,1285.865354226342,123.74006281598004
20,617.4012730081558,278.7977417247611,218.39175306600092,1.8370320326860667,3825.974630911855,1946.8389584911365
21,4022.187823608398,792.5147250204681,277.749291265482,6.656658727719111,17325.419829496237,1602.9438645102343
22,9012.396444433594,1282.9447090815095,455.7655567676199,7.93789611254545,22531.281883347354,614.1326136278525
23,1676.6379914714814,493.86651581823315,143.8664649452244,3.166042336997616,8984.664513139143,229.44015661298
