real_river,Q,TotN,DIN,TDP,TOC,SS
4,30.452696554094555,30.334867217396773,14.914465858823737,0.94319718886138,280.8457921193059,14.334966163236137
5,457.3345680278778,247.65232151339106,111.67204622073002,2.8415893252068476,4261.027248664314,215.3315735246181
6,1149.9914413970946,937.2245958993317,543.2070589807189,20.92164800163,10656.800125770193,975.490904184638
7,23673.136588110352,11191.08857919348,6849.926337291495,166.63664942295486,108450.77667132631,48354.54142117012
8,583.1216412952423,592.6518566697779,349.34914027935287,7.095302448000095,4793.786371272207,563.3384947881727
9,120.99177027139665,295.08861126691824,199.3539194308794,6.573749819736212,949.5800153953063,1435.828655108573
10,60.03169374847412,176.84039567007565,108.56187598662127,1.3762658401819639,382.9718023703493,176.46259581322897
11,185.74401396560668,76.68619296610397,40.364909103868534,2.0867297889614096,835.8077735722844,378.00860232008677
12,155.0507295753479,85.54697885329183,31.265900140557516,1.7788701103552762,1226.3747103226494,337.38093718328815
13,178.7499705511093,141.78746137453086,87.87244761481689,1.6067501037104492,1039.8696113280237,185.89720092258872
14,443.9322553676605,603.0512709351406,376.24891188254077,13.135836177260314,2599.9264629232493,1364.6331897278703
15,92.61432932755183,70.54758917758978,60.76981735885986,2.2638736199427894,489.03805548545046,103.80141723984507
17,248.5642233718872,293.4662937577479,194.3870313598659,6.13284491264803,1437.1198893508538,2325.8897360925166
18,11828.709241699218,4262.549398536607,2709.4678617239947,30.61273303040292,42186.40857307881,6374.289659022957
19,224.70164661827087,140.67183034601754,99.0369284736261,3.1974726157386235,1342.4301306079044,427.05411923076036
20,617.4012730081558,1623.7654084461376,1457.4640116788305,26.84738875151714,4022.2876193751576,6718.968600646239
21,4022.187823608398,1591.3665450396247,936.3359056098367,20.408370500467395,17827.711070066052,5532.111142151174
22,9012.396444433594,2066.204104798905,1084.3158544006649,19.49756716768892,23654.15841127744,2119.5064592278327
23,1676.6379914714814,589.8415810285918,212.06951075406968,5.852411912803053,9430.1725216996,791.8483453838211
