Vassom,Baseline_T-per-yr,Scenario_A_T-per-yr,Scenario_A_%_reduction,Scenario_A_reduction_T-per-yr,Scenario_B_T-per-yr,Scenario_B_%_reduction,Scenario_B_reduction_T-per-yr,Pristine_T-per-yr,Pristine_%_reduction,Pristine_reduction_T-per-yr,Vassom_name,Area_km2
001.,3446.96,1299.51,62.3,2147.46,975.49,71.7,2471.47,282.65,91.8,3164.31,Tista,2495.0
002.,170864.1,64415.77,62.3,106448.34,48354.54,71.7,122509.56,14010.86,91.8,156853.25,Glomma,42446.0
003.,1990.6,750.45,62.3,1240.14,563.34,71.7,1427.26,163.23,91.8,1827.37,Mosseelva,854.0
004.,5073.6,1912.75,62.3,3160.85,1435.83,71.7,3637.77,416.04,91.8,4657.56,Hølenelva,204.0
005.,623.54,235.08,62.3,388.47,176.46,71.7,447.08,51.13,91.8,572.41,Årungen ,280.0
006.,1335.72,503.57,62.3,832.15,378.01,71.7,957.71,109.53,91.8,1226.19,Akerselva,392.0
007.,1192.16,449.44,62.3,742.71,337.38,71.7,854.78,97.76,91.8,1094.4,Lysakerelva,202.0
008.,656.88,247.64,62.3,409.24,185.9,71.7,470.98,53.86,91.8,603.02,Sandvikselva,279.0
009.,4822.03,1817.9,62.3,3004.12,1364.63,71.7,3457.39,395.41,91.8,4426.62,Åros,215.0
010.,366.79,138.28,62.3,228.51,103.8,71.7,262.99,30.08,91.8,336.71,Tofteelva,114.0
011.,8218.69,3098.45,62.3,5120.24,2325.89,71.7,5892.8,673.93,91.8,7544.76,Lierelva,360.0
012.,22523.99,8491.54,62.3,14032.45,6374.29,71.7,16149.7,1846.97,91.8,20677.02,Drammenselva,17180.0
013.,1509.03,568.9,62.3,940.12,427.05,71.7,1081.97,123.74,91.8,1385.29,Sandeelva,365.0
014.,23741.94,8950.71,62.3,14791.23,6718.97,71.7,17022.97,1946.84,91.8,21795.1,Aulielva,595.0
015.,19548.1,7369.63,62.3,12178.46,5532.11,71.7,14015.98,1602.94,91.8,17945.15,Numedalslågen,6275.0
016.,7489.42,2823.51,62.3,4665.91,2119.51,71.7,5369.92,614.13,91.8,6875.29,Skienselva,11279.0
017.,2798.05,1054.87,62.3,1743.19,791.85,71.7,2006.2,229.44,91.8,2568.61,Kammerfosselva,1580.0
Enningdalsälv,760.89,286.86,62.3,474.03,215.33,71.7,545.56,62.39,91.8,698.5,Enningdalsälv,810.0
Strömsån,50.65,19.1,62.3,31.56,14.33,71.7,36.32,4.15,91.8,46.5,Strömsån,467.0
